57   	43   	282  	109  	46   	33   	28   	211  	
56   	44   	273  	108  	46   	32   	30   	212  	
56   	43   	256  	119  	48   	30   	30   	216  	
59   	40   	318  	103  	48   	30   	37   	277  	
58   	40   	325  	103  	48   	30   	35   	251  	
56   	39   	331  	100  	48   	32   	35   	248  	
41   	34   	362  	96   	49   	32   	36   	261  	
57   	46   	383  	86   	55   	34   	33   	261  	
54   	46   	315  	102  	54   	33   	30   	170  	
55   	48   	332  	98   	54   	32   	33   	188  	
57   	47   	316  	98   	57   	32   	34   	193  	
58   	48   	294  	119  	55   	33   	32   	176  	
42   	38   	324  	115  	53   	30   	32   	168  	
55   	38   	322  	104  	51   	29   	29   	167  	
54   	38   	357  	120  	52   	29   	29   	173  	
53   	41   	390  	113  	47   	28   	25   	177  	
51   	44   	393  	103  	49   	27   	28   	180  	
51   	46   	357  	105  	42   	26   	28   	182  	
35   	44   	393  	114  	44   	25   	29   	184  	
50   	44   	375  	101  	51   	26   	29   	164  	
49   	40   	364  	111  	47   	27   	32   	167  	
50   	37   	356  	107  	49   	28   	29   	168  	
50   	35   	345  	128  	50   	27   	26   	166  	
52   	36   	321  	121  	48   	30   	27   	165  	
37   	38   	316  	116  	37   	30   	27   	165  	
60   	38   	309  	116  	39   	32   	24   	185  	
59   	38   	310  	123  	36   	30   	24   	199  	
60   	40   	319  	91   	38   	30   	26   	209  	
60   	38   	301  	88   	40   	30   	27   	218  	
59   	34   	278  	89   	43   	30   	28   	220  	
56   	32   	249  	82   	40   	27   	27   	219  	
55   	36   	288  	67   	39   	26   	28   	214  	
55   	33   	273  	73   	41   	28   	28   	213  	
55   	41   	271  	103  	47   	26   	26   	193  	
59   	43   	281  	112  	45   	30   	28   	182  	
54   	43   	296  	108  	46   	29   	29   	178  	
57   	40   	289  	107  	50   	30   	30   	195  	
59   	41   	304  	115  	51   	29   	31   	217  	
58   	35   	304  	96   	46   	28   	32   	216  	
54   	33   	275  	85   	49   	27   	32   	222  	
53   	36   	272  	89   	50   	27   	31   	192  	
51   	36   	237  	96   	49   	29   	30   	183  	
52   	35   	225  	91   	45   	29   	29   	148  	
55   	43   	264  	89   	46   	31   	29   	162  	
54   	47   	332  	90   	49   	29   	30   	162  	
57   	49   	313  	90   	53   	30   	33   	163  	
57   	49   	324  	80   	52   	28   	34   	216  	
55   	48   	319  	73   	52   	30   	31   	216  	
56   	48   	337  	72   	62   	28   	32   	214  	
57   	45   	277  	78   	58   	30   	29   	234  	
57   	43   	322  	95   	55   	31   	28   	233  	
57   	46   	323  	106  	55   	31   	29   	200  	
58   	47   	336  	124  	54   	30   	30   	210  	
60   	46   	318  	124  	46   	29   	25   	208  	
56   	47   	327  	123  	49   	28   	25   	176  	
64   	44   	291  	111  	47   	28   	23   	190  	
62   	47   	284  	100  	47   	29   	22   	200  	
62   	46   	302  	84   	47   	29   	22   	217  	
59   	47   	284  	87   	42   	29   	25   	224  	
59   	45   	296  	80   	37   	30   	26   	221  	
57   	46   	351  	100  	43   	27   	26   	217  	
59   	40   	357  	105  	49   	25   	27   	190  	
59   	43   	358  	101  	49   	25   	27   	197  	
60   	34   	357  	108  	50   	24   	27   	186  	
61   	34   	416  	116  	55   	23   	27   	185  	
61   	36   	368  	101  	55   	24   	28   	183  	
